lapp_id,woe_end_use,woe_job_type,cibil_loan_closed_unsecured_count_outlier_ob_woe,cibil_loan_closed_unsecured_disbursed_amt_sum_outlier_ob_woe,cibil_loan_active_personal_loan_tenure_avg_outlier_ob_woe,total_outflow_outlier_ob_woe,woe_educational_qualification,cibil_score_outlier_ob_woe,cibil_loan_active_count_outlier_ob_woe,cibil_loan_closed_credit_card_count_outlier_ob_woe,cibil_loan_closed_consumer_loan_count_outlier_ob_woe,cibil_enquiry_na_disbursed_amt_avg_outlier_ob_woe,cibil_loan_active_disbursed_amt_sum_outlier_ob_woe,avg_3m_ncf_outlier_ob_woe,woe_preferred_agreement_method,cibil_loan_active_instalment_amount_sum_outlier_ob_woe,cibil_loan_closed_consumer_loan_disbursed_amt_avg_outlier_ob_woe,woe_employment_year,total_3m_ncf_outlier_ob_woe,cibil_loan_active_tenure_avg_outlier_ob_woe,crif_loans_to_enquiries_outlier_ob_woe,cibil_loan_active_overdue_amt_sum_outlier_ob_woe,cibil_loan_closed_personal_loan_tenure_avg_outlier_ob_woe,woe_home_stay_duration,no_of_dependents_outlier_ob_woe,avg_3m_other_debit_sum_outlier_ob_woe,age_outlier_ob_woe,cibil_loan_closed_secured_tenure_avg_outlier_ob_woe,shift_1m_upi_credit_sum_outlier_ob_woe,non_financial_credit_score_outlier_ob_woe,crif_loan_closed_instalment_amount_sum_outlier_ob_woe,total_3m_upi_credit_sum_outlier_ob_woe,avg_3m_emi_debit_sum_outlier_ob_woe,cibil_loans_to_enquiries_outlier_ob_woe,total_3m_emi_debit_sum_outlier_ob_woe,employment_duration_outlier_ob_woe,cibil_loan_active_current_bal_sum_outlier_ob_woe,avg_3m_closing_balance_outlier_ob_woe,cibil_loan_active_disbursed_amt_avg_outlier_ob_woe,woe_kyc_method,trend_m2_m3_salary_credit_count_outlier_ob_woe,crif_score_outlier_ob_woe,crif_loan_active_count_outlier_ob_woe,avg_balance_m2_outlier_ob_woe,trend_m2_m3_upi_debit_sum_outlier_ob_woe,income_to_age_ratio_outlier_ob_woe,total_3m_bounce_debit_count_outlier_ob_woe,trend_m1_m2_closing_balance_outlier_ob_woe,shift_1m_other_debit_sum_outlier_ob_woe,avg_3m_credit_count_outlier_ob_woe,trend_m1_m2_pos_expense_debit_count_outlier_ob_woe,crif_loan_active_current_bal_sum_outlier_ob_woe
APP1681081886289811,13.98805257,20,20,17.96778858,5,17.4221114,20,20,19.52015528,5,20,11.68392685,19.19065418,20,20,5,19.29948526,20,20,20,18.86246405,5,17.71355162,17.86157543,14.24464052,10.11439076,18.53736925,5,15.77830219,13.18769443,5,20,6.068468637,19.68110896,6.049953781,5,20,20,20,18.57076852,20,20,20,5,5,5,20,5,14.46261847,5,20,17.93481052
APP1682700822132487,13.98805257,20,20,15.89752543,18.06472886,17.4221114,15.86364706,19.86644689,20,19.83920695,14.02923551,11.68392685,19.19065418,20,20,5,17.98962557,20,20,20,17.24945534,5,18.80543055,17.86157543,5,6.748739968,18.53736925,5,18.53523604,13.18769443,20,20,6.068468637,18.11592958,6.049953781,12.98900889,20,20,19.3821797,18.57076852,20,20,20,20,20,5,20,5,20,5.423861422,20,20
APP1683285165772803,20,20,18.24261188,20,5,20,15.86364706,19.86644689,20,20,14.02923551,11.33866038,20,20,20,5,20,20,20,5,5,5,17.71355162,5,5,5,18.53736925,20,15.77830219,16.68994094,5,20,6.068468637,19.68110896,6.049953781,14.07745166,19.30591987,20,20,18.57076852,20,5,5,5,20,5,20,5,19.52906061,5.423861422,20,5
APP1689024818085196,13.98805257,20,16.13141881,15.89752543,18.06472886,14.19961378,15.86364706,19.86644689,17.28213613,19.70552413,20,20,20,5,20,5,17.98962557,17.81013554,5,20,17.24945534,20,20,5,20,5,18.53736925,20,5,16.68994094,5,5,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,17.93481052
APP1689025062936091,13.98805257,20,16.13141881,15.89752543,18.06472886,14.19961378,20,19.86644689,17.28213613,19.70552413,20,20,20,5,20,5,17.98962557,20,5,20,17.24945534,20,20,5,5,5,18.53736925,20,5,13.18769443,5,5,6.068468637,19.68110896,6.049953781,5,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,17.93481052
APP1689026035377921,13.98805257,20,16.13141881,15.89752543,18.06472886,14.19961378,20,19.86644689,17.28213613,19.70552413,20,20,20,5,20,5,17.98962557,17.81013554,5,20,17.24945534,20,20,5,5,5,18.53736925,20,5,13.18769443,5,5,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,17.93481052
APP1690303221516581,13.98805257,20,16.13141881,15.89752543,18.06472886,14.19961378,20,19.86644689,17.28213613,19.70552413,20,20,20,5,20,5,17.98962557,20,5,20,17.24945534,20,20,5,20,5,18.53736925,20,5,13.18769443,5,5,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,17.93481052
APP1683639564791378,16.6266379,20,20,20,18.06472886,17.4221114,15.86364706,20,20,19.83920695,20,11.68392685,20,20,5,5,17.98962557,20,20,20,5,18.34296548,18.80543055,5,20,5,18.53736925,5,5,13.18769443,5,19.00735252,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,17.36898549,19.3821797,5,20,5,5,5,5,5,20,20,5,5.423861422,5,5
APP1694369763868145,20,20,20,20,5,20,15.86364706,19.86644689,18.5471797,20,20,11.68392685,20,5,20,5,17.98962557,20,5,5,5,20,17.71355162,5,20,5,18.53736925,5,5,13.18769443,5,5,6.068468637,19.68110896,6.049953781,14.07745166,19.30591987,5,20,5,5,5,5,5,5,5,5,5,5,5.423861422,5,5
APP1690576957430548,13.98805257,20,18.24261188,20,18.06472886,20,15.86364706,20,18.5471797,5,14.02923551,11.33866038,20,20,5,5,20,17.3372325,20,20,5,5,17.71355162,5,5,5,18.53736925,20,15.77830219,13.18769443,5,20,20,20,20,12.98900889,19.30591987,20,20,18.57076852,20,5,5,20,5,20,20,20,5,5.423861422,20,5
